"model_slug","max_context","8k_pct","8k_ci95_lower_pct","8k_ci95_upper_pct","16k_pct","16k_ci95_lower_pct","16k_ci95_upper_pct","32k_pct","32k_ci95_lower_pct","32k_ci95_upper_pct","64k_pct","64k_ci95_lower_pct","64k_ci95_upper_pct","128k_pct","128k_ci95_lower_pct","128k_ci95_upper_pct","256k_pct","256k_ci95_lower_pct","256k_ci95_upper_pct","512k_pct","512k_ci95_lower_pct","512k_ci95_upper_pct","1M_pct","1M_ci95_lower_pct","1M_ci95_upper_pct","auc_128k_pct","auc_1m_pct","tok_eff","cost_128k","cost_1m"
"openai/gpt-5.5","1050000","100.00","99.99","100.00","96.34","91.47","100.00","91.55","86.62","95.85","85.10","77.01","91.98","83.01","75.44","89.66","71.88","64.17","79.37","57.59","51.53","63.75","","","","87.45","50.91","0.9800","138.0623","1554.5407"
"openai/gpt-5.5","1050000","100.00","100.00","100.00","99.87","99.62","100.00","95.81","92.28","98.64","90.85","83.98","96.54","85.83","78.30","91.52","73.19","65.66","80.12","54.15","48.16","60.14","","","","91.71","50.54","0.9800","161.3637","1640.7327"
"openai/gpt-5.5","1050000","100.00","99.99","100.00","98.79","96.37","100.00","96.61","93.22","99.32","86.24","78.15","93.12","79.25","70.82","86.80","75.29","67.74","82.74","54.39","48.37","60.42","","","","88.16","50.19","0.9800","150.3588","1592.8324"
"openai/gpt-5.5","1050000","100.00","100.00","100.00","96.34","91.48","100.00","91.75","86.92","95.97","85.17","77.11","92.02","67.04","58.37","75.53","67.03","58.81","74.57","54.32","48.32","60.37","","","","83.26","47.26","0.9800","128.6140","1528.0783"
"anthropic/claude-opus-4.6","1000000","98.17","95.81","99.47","84.44","76.30","91.62","86.18","80.45","91.36","74.27","64.21","82.41","68.15","59.06","76.25","69.09","61.93","76.42","54.30","48.27","60.36","","","","76.83","46.95","1.1311","150.5881","1083.1826"
"anthropic/claude-opus-4.6","1000000","99.30","99.03","99.53","89.19","82.01","94.81","87.45","81.79","92.49","79.88","70.73","87.80","72.51","63.20","80.71","71.85","64.20","78.80","48.91","42.81","55.13","","","","81.01","46.20","1.1311","150.2393","1082.2561"
"anthropic/claude-opus-4.6","1000000","99.30","99.03","99.53","89.28","82.09","94.94","88.23","82.64","93.19","79.79","70.64","87.72","68.78","59.54","76.59","68.45","60.81","75.73","49.84","43.71","55.82","","","","80.14","45.57","1.1311","150.6332","1083.4805"
"anthropic/claude-sonnet-4.6","1000000","96.72","93.02","99.26","82.01","73.47","89.45","85.15","79.14","90.48","79.37","70.11","87.27","72.39","63.06","80.57","69.32","62.14","76.75","45.94","39.66","52.02","","","","79.51","44.41","1.1311","90.5905","653.0673"
"anthropic/claude-sonnet-4.6","1000000","94.78","89.58","98.48","82.24","73.76","89.64","85.83","80.24","91.07","79.62","70.45","87.57","72.57","63.41","80.58","72.69","65.27","79.52","43.51","37.18","49.57","","","","79.75","44.17","1.1311","90.4853","651.0673"
"anthropic/claude-sonnet-4.6","1000000","95.77","90.94","99.38","82.03","73.50","89.47","83.77","77.46","89.42","81.83","72.74","88.85","71.71","62.44","79.84","68.48","60.77","75.60","43.73","37.42","49.80","","","","80.01","43.44","1.1311","90.9421","652.2040"
